nastranapr,Stoim
US,50599389.14
DE,36704112.870000005
SG,19857555.009999998
CN,16170022.16
GB,13932489.08
JP,10312222.93
BY,5533299.7763
FR,5288628.52
IT,4486951.8
SE,4038101.18
KR,2868346.1
TW,2694837.4299999997
IE,2625652.7600000002
CA,2446720.45
CZ,2255177.8
AT,1910911.53
LT,1903822.49
ES,1622772.81
BE,1584552.5
NL,1490906.5699999998
DK,1238801.54
AU,904793.83
FI,778099.15
CH,598187.54
NO,555673.74
HU,526581.01
PL,463109.10000000003
IN,403368.58
IL,208495.51
NNN,184213.24
UA,169545.53999999998
TR,147172.29
ZA,128304.85
RO,105431.39
NZ,85987.79000000001
KZ,81249.54000000001
GR,65405.14
AM,47505.24
HK,20036.350000000002
MT,14405.7
LV,10892.68
UZ,7226.75
MD,6536.719999999999
BG,6078.46
DZ,5469.37
RS,4845.47
SI,4262.9
BR,4119.32
AZ,3712.03
AE,3674.37
EE,1894.81
PT,1783.03
MY,1427.36
MX,1121.73
SH,375.26
LI,176.21
MN,152.01
AL,131.33
AB,34.62
TH,30.0
